2020,Burundi,BDI,Japan,JPN,9
2020,Bangladesh,BGD,Bulgaria,BGR,9
2020,Bangladesh,BGD,"New Zealand",NZL,9
2020,Belarus,BLR,Malta,MLT,9
2020,"Bolivia (Plurinational State of)",BOL,Spain,ESP,9
2020,"Bosnia and Herzegovina",BIH,Jordan,JOR,9
2020,"Central African Rep.",CAF,"United Kingdom of Great Britain and Northern Ireland",GBR,9
2020,"Central African Rep.",CAF,"South Africa",ZAF,9
2020,Chad,TCD,Jordan,JOR,9
2020,Chad,TCD,Malta,MLT,9
2020,Chad,TCD,"Saudi Arabia",SAU,9
2020,Chad,TCD,"Syrian Arab Rep.",SYR,9
2020,Cameroon,CMR,Panama,PAN,9
2020,Cameroon,CMR,Slovakia,SVK,9
2020,Congo,COG,Bulgaria,BGR,9
2020,Congo,COG,Mauritania,MRT,9
2020,"Dominican Rep.",DOM,Greece,GRC,9
2020,Ecuador,ECU,"United Kingdom of Great Britain and Northern Ireland",GBR,9
2020,Eritrea,ERI,China,CHN,9
2020,Eritrea,ERI,Iceland,ISL,9
2020,Eritrea,ERI,India,IND,9
2020,Eritrea,ERI,Malaysia,MYS,9
2020,Ethiopia,ETH,Portugal,PRT,9
2020,Fiji,FJI,"United Kingdom of Great Britain and Northern Ireland",GBR,9
2020,Palestinian,PSE,Denmark,DNK,9
2020,Palestinian,PSE,Ecuador,ECU,9
2020,Guinea-Bissau,GNB,Portugal,PRT,9
2020,Guatemala,GTM,"United Kingdom of Great Britain and Northern Ireland",GBR,9
2020,Guinea,GIN,Ecuador,ECU,9
2020,"Cote d'Ivoire",CIV,Finland,FIN,9
2020,India,IND,Brazil,BRA,9
2020,India,IND,Cyprus,CYP,9
2020,India,IND,Nauru,NRU,9
2020,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,Belgium,BEL,898
2020,Jamaica,JAM,Canada,CAN,896
2020,Jamaica,JAM,"United States of America",USA,896
2020,Ukraine,UKR,Germany,DEU,895
2020,Iraq,IRQ,Finland,FIN,8938
2020,Bahrain,BHR,Australia,AUS,89
2020,Zambia,ZMB,"United Kingdom of Great Britain and Northern Ireland",GBR,89
2020,Eritrea,ERI,Kenya,KEN,888
2020,"South Sudan",SSD,Uganda,UGA,887452
2020,"Russian Federation",RUS,Finland,FIN,885
2020,Nigeria,NGA,Germany,DEU,8813
2020,Jordan,JOR,"United Kingdom of Great Britain and Northern Ireland",GBR,88
2020,Senegal,SEN,Mauritania,MRT,88
2020,Stateless,XXA,Czechia,CZE,88
2020,Angola,AGO,Belgium,BEL,88
2020,Egypt,EGY,Lebanon,LBN,88
2020,"Syrian Arab Rep.",SYR,Paraguay,PRY,88
2020,Yemen,YEM,"Russian Federation",RUS,88
2020,"Syrian Arab Rep.",SYR,Cyprus,CYP,8797
2020,China,CHN,"Netherlands (Kingdom of the)",NLD,879
2020,Congo,COG,Kenya,KEN,87
